decile,variable,value,year
decile 5,Furniture,190489.53500688486,90
decile 6,Furniture,211488.40477033888,90
decile 7,Furniture,247853.95665322582,90
decile 8,Furniture,285244.9817004505,90
decile 9,Furniture,370448.5616956851,90
decile 10,Furniture,676838.924372697,90
decile 1,furniture_std,77784.32505490661,90
decile 2,furniture_std,141525.23728236428,90
decile 3,furniture_std,157308.4598422391,90
decile 4,furniture_std,203940.30116606352,90
decile 5,furniture_std,245995.96965165457,90
decile 6,furniture_std,305383.4242655818,90
decile 7,furniture_std,429010.2217730123,90
decile 8,furniture_std,493793.0970388053,90
decile 9,furniture_std,704572.4422607633,90
decile 10,furniture_std,1858745.5008229145,90
decile 1,Health,94410.75154997731,90
decile 2,Health,160217.72200443156,90
decile 3,Health,220121.8167187352,90
decile 4,Health,253762.90829782918,90
decile 5,Health,341447.0395085266,90
decile 6,Health,427610.83953241236,90
decile 7,Health,500871.6544858871,90
decile 8,Health,674445.8685247748,90
decile 9,Health,907772.505677517,90
decile 10,Health,1486061.6599403403,90
decile 1,health_std,169626.84995652203,90
decile 2,health_std,257545.73325708575,90
decile 3,health_std,374327.59022482584,90
decile 4,health_std,432681.3427933227,90
decile 5,health_std,552259.6929728752,90
decile 6,health_std,649351.6521292017,90
decile 7,health_std,855709.6527387775,90
decile 8,health_std,1120880.3668756448,90
decile 9,health_std,1681094.2474706827,90
decile 10,health_std,3978333.2056821324,90
decile 1,Transportation,148534.77997882958,90
decile 2,Transportation,236405.91869780127,90
decile 3,Transportation,296992.23705386725,90
decile 4,Transportation,345265.5356055995,90
decile 5,Transportation,406389.9745789641,90
decile 6,Transportation,463198.78970362496,90
decile 7,Transportation,550039.4405241936,90
decile 8,Transportation,647915.7728040541,90
decile 9,Transportation,793548.6903860711,90
decile 10,Transportation,1008236.7432882962,90
decile 1,transportation_std,161103.14299976145,90
decile 2,transportation_std,225299.99908953052,90
decile 3,transportation_std,281711.43466041295,90
decile 4,transportation_std,334338.53498251474,90
decile 5,transportation_std,381738.1561205331,90
decile 6,transportation_std,442104.4764618335,90
decile 7,transportation_std,494282.42864753545,90
decile 8,transportation_std,629778.5818057362,90
decile 9,transportation_std,838701.2244207222,90
decile 10,transportation_std,1689226.6038802855,90
decile 1,ICT,91250.2646302737,90
decile 2,ICT,155861.06459860236,90
decile 3,ICT,197570.23572848624,90
decile 4,ICT,228988.8200446338,90
decile 5,ICT,271052.217455778,90
decile 6,ICT,299947.25469358836,90
decile 7,ICT,355591.65826612903,90
decile 8,ICT,400900.86570945947,90
decile 9,ICT,453816.10295230884,90
decile 10,ICT,563874.329180558,90
decile 1,ict_std,105185.58047478095,90
decile 2,ict_std,145184.46081654346,90
decile 3,ict_std,182150.1049492308,90
decile 4,ict_std,199264.63416393558,90
decile 5,ict_std,234681.33846132114,90
decile 6,ict_std,252525.07135679518,90
decile 7,ict_std,308413.3567466838,90
decile 8,ict_std,349754.04053391307,90
decile 9,ict_std,409674.49627003644,90
decile 10,ict_std,634661.8242349725,90
decile 1,Restaurant,13891.577196431272,90
decile 2,Restaurant,24031.91580023862,90
decile 3,Restaurant,32629.508662311844,90
decile 4,Restaurant,44344.84682491377,90
decile 5,Restaurant,59756.38173922254,90
decile 6,Restaurant,72773.57421183138,90
decile 7,Restaurant,90267.38911290323,90
decile 8,Restaurant,125303.70213963964,90
decile 9,Restaurant,156035.12490537472,90
decile 10,Restaurant,515750.9212142481,90
decile 1,restaurant_std,41130.75422405573,90
decile 2,restaurant_std,60430.019791841296,90
decile 3,restaurant_std,82470.58017619696,90
decile 4,restaurant_std,111054.53046480137,90
decile 5,restaurant_std,205521.5847251181,90
decile 6,restaurant_std,192944.2583339361,90
decile 7,restaurant_std,222766.1711175348,90
decile 8,restaurant_std,423536.3405292715,90
decile 9,restaurant_std,377845.1731081922,90
decile 10,restaurant_std,2848591.05612088,90
decile 1,Durables,210801.83396970615,90
decile 2,Durables,486234.73102380545,90
decile 3,Durables,748483.4133847707,90
decile 4,Durables,1040778.9750287415,90
decile 5,Durables,1375649.277557109,90
decile 6,Durables,1824885.5201322471,90
decile 7,Durables,2500369.1403834843,90
decile 8,Durables,3312528.367351727,90
decile 9,Durables,4562561.453507444,90
decile 10,Durables,8002097.244589694,90
decile 1,durables_std,310296.78784705186,90
decile 2,durables_std,559646.6906766255,90
decile 3,durables_std,774800.7012195041,90
decile 4,durables_std,967306.3070228109,90
decile 5,durables_std,1240546.257677209,90
decile 6,durables_std,1567425.9195671899,90
decile 7,durables_std,2075469.6462877046,90
decile 8,durables_std,2584183.8167675706,90
decile 9,durables_std,3607481.17443096,90
decile 10,durables_std,7818308.362400213,90
decile 1,Others,59385.4075306215,90
decile 2,Others,95265.38264871314,90
decile 3,Others,115924.49114834801,90
decile 4,Others,134612.31487117062,90
decile 5,Others,149356.34996292766,90
decile 6,Others,172986.83433699375,90
decile 7,Others,190848.89112903227,90
decile 8,Others,216072.4099099099,90
decile 9,Others,249891.23391370176,90
decile 10,Others,391312.4583260221,90
decile 1,others_std,65395.63604041707,90
decile 2,others_std,92571.52669490992,90
decile 3,others_std,105868.2215074055,90
decile 4,others_std,131939.5607252967,90
decile 5,others_std,142907.44701102786,90
decile 6,others_std,185545.32582632697,90
decile 7,others_std,194881.3885884895,90
decile 8,others_std,231622.70649286057,90
decile 9,others_std,299611.7764394953,90
decile 10,others_std,937739.7273425494,90
decile 1,Investments,19425.935026967083,90
decile 2,Investments,63640.0630645986,90
decile 3,Investments,141893.83540029664,90
decile 4,Investments,282053.7634408602,90
decile 5,Investments,416487.4218832751,90
decile 6,Investments,543082.565828315,90
decile 7,Investments,733973.7168178764,90
decile 8,Investments,1050430.9192004504,90
decile 9,Investments,1613983.5982841281,90
decile 10,Investments,8597658.156401707,90
decile 1,investments_std,148366.21209672934,90
decile 2,investments_std,310252.3510008798,90
decile 3,investments_std,559538.0947868633,90
decile 4,investments_std,898397.9864542898,90
decile 5,investments_std,1146519.5591349977,90
decile 6,investments_std,1350919.749397298,90
decile 7,investments_std,1766766.4184356134,90
decile 8,investments_std,2461042.375455666,90
decile 9,investments_std,3670702.2337984494,90
decile 10,investments_std,20298250.531285834,90
decile 1,Entertainment,9655.186753364585,90
decile 2,Entertainment,18983.756604738366,90
decile 3,Entertainment,27455.41039477421,90
decile 4,Entertainment,33128.119293974436,90
decile 5,Entertainment,42360.369664230486,90
decile 6,Entertainment,50619.78982170268,90
decile 7,Entertainment,59147.35383064516,90
decile 8,Entertainment,74789.20326576577,90
decile 9,Entertainment,98185.84405753217,90
decile 10,Entertainment,163046.88541849446,90
decile 1,entertainment_std,29560.262026138473,90
decile 2,entertainment_std,46815.18463401002,90
decile 3,entertainment_std,67534.5860696078,90
decile 4,entertainment_std,80564.74770092953,90
decile 5,entertainment_std,96460.65909011051,90
decile 6,entertainment_std,122189.65596347218,90
decile 7,entertainment_std,123805.2010783187,90
decile 8,entertainment_std,190692.62157491996,90
decile 9,entertainment_std,237856.9215859371,90
decile 10,entertainment_std,525309.3342758088,90
decile 1,Total,109.34846510912793,90
decile 2,Total,171.24045480511253,90
decile 3,Total,216.6161749208936,90
decile 4,Total,262.11287541669134,90
decile 5,Total,311.4009249857631,90
decile 6,Total,369.2013889403602,90
decile 7,Total,440.5534338209598,90
decile 8,Total,539.7010638425376,90
decile 9,Total,698.742405990586,90
decile 10,Total,1349.3274456956035,90
decile 1,total,27.047532127602125,90
decile 2,total,13.682444106123437,90
decile 3,total,12.85738924018058,90
decile 4,total,13.395858144428484,90
decile 5,total,15.281846938315603,90
decile 6,total,17.98860430602069,90
decile 7,total,23.69107897836548,90
decile 8,total,34.180717893555645,90
decile 9,total,63.322311091667046,90
decile 10,total,863.6701670148176,90
decile 1,Food,1894452.7018389143,91
decile 2,Food,2606856.2885857206,91
decile 3,Food,2959838.2919781776,91
decile 4,Food,3282275.1317829457,91
decile 5,Food,3569037.7008293103,91
decile 6,Food,3917079.7818133617,91
decile 7,Food,4326353.9373518955,91
decile 8,Food,4743660.289646735,91
decile 9,Food,5556433.822736352,91
decile 10,Food,6459802.271988907,91
decile 1,food_std,1072486.6259635468,91
decile 2,food_std,1261935.652553403,91
decile 3,food_std,1445073.4158142358,91
decile 4,food_std,1573728.1816518945,91
decile 5,food_std,1780982.6007963414,91
decile 6,food_std,1937411.930189735,91
decile 7,food_std,2169782.171350088,91
decile 8,food_std,2447834.2636774927,91
decile 9,food_std,3297542.845535724,91
decile 10,food_std,5830623.615297094,91
decile 1,Drink,49170.015257367704,91
decile 2,Drink,66101.8872214643,91
decile 3,Drink,75308.76944837341,91
decile 4,Drink,84518.19739355128,91
decile 5,Drink,87420.53471964352,91
decile 6,Drink,88450.40429480381,91
decile 7,Drink,97055.4058056872,91
decile 8,Drink,89265.5910689708,91
decile 9,Drink,104520.2396804261,91
decile 10,Drink,99692.00079239302,91
decile 1,drink_std,147905.9550383056,91
decile 2,drink_std,202418.81071025963,91
decile 3,drink_std,234879.04080315394,91
decile 4,drink_std,270607.03874575684,91
decile 5,drink_std,271307.70054498053,91
decile 6,drink_std,267709.5607972077,91
decile 7,drink_std,354838.27951107937,91
decile 8,drink_std,290120.67943947046,91
decile 9,drink_std,369602.0784481385,91
decile 10,drink_std,378066.1787088784,91
decile 1,Cloth,133047.65919858668,91
decile 2,Cloth,260108.32196452934,91
decile 3,Cloth,338357.4459486765,91
decile 4,Cloth,446655.3196270082,91
decile 5,Cloth,517884.3916326278,91
decile 6,Cloth,645744.0349946978,91
decile 7,Cloth,790694.8015402844,91
decile 8,Cloth,939930.4174950299,91
decile 9,Cloth,1288479.1944074568,91
decile 10,Cloth,1746455.229793978,91
decile 1,cloth_std,296327.6146584128,91
decile 2,cloth_std,443110.676449415,91
decile 3,cloth_std,555793.8374251171,91
decile 4,cloth_std,707874.161198305,91
decile 5,cloth_std,774995.1305281761,91
decile 6,cloth_std,974094.5058640087,91
decile 7,cloth_std,1128013.4589021099,91
decile 8,cloth_std,1339247.9960743983,91
decile 9,cloth_std,1756928.2205265104,91
decile 10,cloth_std,2667492.809237809,91
decile 1,Housing,968925.7813378302,91
decile 2,Housing,1393416.1289677126,91
decile 3,Housing,1685691.9263487572,91
decile 4,Housing,1942919.397146388,91
decile 5,Housing,2189244.8668152,91
decile 6,Housing,2443380.590402969,91
decile 7,Housing,2784459.2462973935,91
decile 8,Housing,3077799.3810980273,91
decile 9,Housing,3651642.852363515,91
decile 10,Housing,5537614.975237718,91
decile 1,housign_std,576099.2137683667,91
decile 2,housign_std,781713.5388464235,91
decile 3,housign_std,931431.895709483,91
decile 4,housign_std,1102488.8948626798,91
decile 5,housign_std,1296514.6662074479,91
decile 6,housign_std,1454190.4753997875,91
decile 7,housign_std,1756341.4878368878,91
decile 8,housign_std,2096063.2270301178,91
decile 9,housign_std,2819025.906655006,91
decile 10,housign_std,6436555.671789061,91
decile 1,Furniture,105244.36280414357,91
decile 2,Furniture,160272.96953160528,91
decile 3,Furniture,185696.85795110124,91
decile 4,Furniture,229272.14133243455,91
decile 5,Furniture,239475.1330610224,91
decile 6,Furniture,288411.7709437964,91
decile 7,Furniture,325835.1703199052,91
decile 8,Furniture,386996.3144211653,91
decile 9,Furniture,534818.2423435419,91
decile 10,Furniture,947332.706022187,91
decile 1,furniture_std,108046.05222423574,91
decile 2,furniture_std,169634.2304594875,91
decile 3,furniture_std,224724.82553898563,91
decile 4,furniture_std,286466.66732240823,91
decile 5,furniture_std,294606.8410761913,91
decile 6,furniture_std,461948.5516069908,91
decile 7,furniture_std,511327.7415147186,91
decile 8,furniture_std,605814.986843391,91
decile 9,furniture_std,1119936.079786177,91
decile 10,furniture_std,3290683.8395978506,91
decile 1,Health,119937.7097888059,91
decile 2,Health,189655.9454297408,91
decile 3,Health,254293.9785815316,91
decile 4,Health,312851.4998314796,91
decile 5,Health,398307.7856170318,91
decile 6,Health,493506.9989395546,91
decile 7,Health,590050.2591824644,91
decile 8,Health,763812.417800887,91
decile 9,Health,1134564.257656458,91
decile 10,Health,1868399.807844691,91
decile 1,health_std,223252.80054199992,91
decile 2,health_std,322879.494663552,91
decile 3,health_std,437178.26646322495,91
decile 4,health_std,522472.2598272969,91
decile 5,health_std,676425.9905750672,91
decile 6,health_std,870750.9144186712,91
decile 7,health_std,1059860.1330993539,91
decile 8,health_std,1364495.320933396,91
decile 9,health_std,2127127.332243939,91
decile 10,health_std,6069615.589078003,91
decile 1,Transportation,182061.55143338954,91
decile 2,Transportation,282577.85356980446,91
decile 3,Transportation,355672.81268943223,91
decile 4,Transportation,425116.5599370857,91
decile 5,Transportation,489102.8592647605,91
decile 6,Transportation,552615.124602333,91
decile 7,Transportation,665558.2049763033,91
decile 8,Transportation,727545.4350818167,91
decile 9,Transportation,912318.0758988016,91
decile 10,Transportation,1039565.9865293185,91
decile 1,transportation_std,190811.32350199777,91
decile 2,transportation_std,267618.2507579474,91
decile 3,transportation_std,325693.2103347396,91
decile 4,transportation_std,392019.7987603686,91
decile 5,transportation_std,454951.82836559246,91
decile 6,transportation_std,496441.72550006746,91
decile 7,transportation_std,621315.3051052955,91
decile 8,transportation_std,729332.5534966706,91
decile 9,transportation_std,998728.984431926,91
decile 10,transportation_std,1370508.1731326238,91
decile 1,ICT,117967.63832008351,91
decile 2,ICT,192077.78080945884,91
decile 3,ICT,230258.53202667207,91
decile 4,ICT,273349.8328277722,91
decile 5,ICT,306267.2484218344,91
decile 6,ICT,340361.191542948,91
decile 7,ICT,387346.7088270142,91
decile 8,ICT,415735.1351888668,91
decile 9,ICT,504798.1191744341,91
decile 10,ICT,560373.4350237718,91
decile 1,ict_std,126209.799399106,91
decile 2,ict_std,164361.5755214699,91
decile 3,ict_std,192089.51545637302,91
decile 4,ict_std,245831.79573551935,91
decile 5,ict_std,250124.09778426104,91
decile 6,ict_std,275097.8098081395,91
decile 7,ict_std,330641.0078604396,91
decile 8,ict_std,354782.83869358205,91
decile 9,ict_std,430977.5679777407,91
decile 10,ict_std,522898.42910286126,91
decile 1,Restaurant,19986.870633582268,91
decile 2,Restaurant,33937.608003638015,91
decile 3,Restaurant,49854.16245706203,91
decile 4,Restaurant,55027.13178294573,91
decile 5,Restaurant,80046.91174650328,91
decile 6,Restaurant,102629.44061505832,91
decile 7,Restaurant,127259.8489336493,91
decile 8,Restaurant,151879.44639853187,91
decile 9,Restaurant,240772.38681757657,91
decile 10,Restaurant,707023.2765451664,91
decile 1,restaurant_std,74365.01816733237,91
decile 2,restaurant_std,85235.83838010675,91
decile 3,restaurant_std,187525.4620099408,91
decile 4,restaurant_std,173423.22580014923,91
decile 5,restaurant_std,201168.1498179318,91
decile 6,restaurant_std,291336.8778046865,91
decile 7,restaurant_std,341280.4056251567,91
decile 8,restaurant_std,367316.92958548747,91
decile 9,restaurant_std,813983.0287329415,91
decile 10,restaurant_std,4135656.609768291,91
decile 1,Durables,286591.8434045344,91
decile 2,Durables,597993.8272851296,91
decile 3,Durables,963878.2791052065,91
decile 4,Durables,1274049.9495375052,91
decile 5,Durables,1751449.5371436235,91
decile 6,Durables,2201913.665683545,91
decile 7,Durables,2930772.099353278,91
decile 8,Durables,3796353.651590457,91
decile 9,Durables,5408453.741996782,91
decile 10,Durables,8312669.702786582,91
decile 1,durables_std,395945.32644553523,91
decile 2,durables_std,688980.0312748165,91
decile 3,durables_std,990931.2784545067,91
decile 4,durables_std,1186384.152374737,91
decile 5,durables_std,1523803.4295761841,91
decile 6,durables_std,1889164.3451081992,91
decile 7,durables_std,2411483.287734062,91
decile 8,durables_std,3025106.3244484235,91
decile 9,durables_std,4292915.812434074,91
decile 10,durables_std,9206306.158838343,91
decile 1,Others,83748.74327471292,91
decile 2,Others,133456.9440654843,91
decile 3,Others,158376.32855122248,91
decile 4,Others,182531.40096618357,91
decile 5,Others,207646.27429137268,91
decile 6,Others,235376.83589607634,91
decile 7,Others,259207.89395734598,91
decile 8,Others,274751.6057501147,91
decile 9,Others,345901.6311584554,91
decile 10,Others,554002.7238510301,91
decile 1,others_std,90708.75922637265,91
decile 2,others_std,123612.19132298874,91
decile 3,others_std,142145.68432695203,91
decile 4,others_std,170838.87430717473,91
decile 5,others_std,207065.4888547442,91
decile 6,others_std,228491.64787918775,91
decile 7,others_std,250644.60886675742,91
decile 8,others_std,297818.30438423104,91
decile 9,others_std,485693.6815692582,91
decile 10,others_std,1342105.3246832413,91
decile 1,Investments,27439.505875424933,91
decile 2,Investments,66917.53827497347,91
decile 3,Investments,126006.10392671921,91
decile 4,Investments,224501.9286222522,91
decile 5,Investments,325165.29479721084,91
decile 6,Investments,473083.27810180275,91
decile 7,Investments,589183.3283965245,91
decile 8,Investments,1049316.1033797218,91
decile 9,Investments,1622542.6514647137,91
decile 10,Investments,11195051.945754094,91
decile 1,investments_std,170242.3781974987,91
decile 2,investments_std,369139.2826525575,91
decile 3,investments_std,589871.1713194313,91
decile 4,investments_std,853663.5272655265,91
decile 5,investments_std,1038789.2644942926,91
decile 6,investments_std,1528840.1540413008,91
decile 7,investments_std,1831219.1744515342,91
decile 8,investments_std,2890617.18633142,91
decile 9,investments_std,4086910.861444938,91
decile 10,investments_std,27326411.22811303,91
decile 1,Entertainment,15981.048743274712,91
decile 2,Entertainment,28411.68713051387,91
decile 3,Entertainment,35701.95999191756,91
decile 4,Entertainment,43883.72093023256,91
decile 5,Entertainment,54853.19965342245,91
decile 6,Entertainment,60509.14634146341,91
decile 7,Entertainment,75448.23755924171,91
decile 8,Entertainment,93914.89524392108,91
decile 9,Entertainment,120864.01464713716,91
decile 10,Entertainment,302847.7812995246,91
decile 1,entertainment_std,48351.93123066151,91
decile 2,entertainment_std,70860.82761271212,91
decile 3,entertainment_std,80062.24119766585,91
decile 4,entertainment_std,96619.99214527587,91
decile 5,entertainment_std,133852.4340990286,91
decile 6,entertainment_std,140637.999536218,91
decile 7,entertainment_std,165494.41537293856,91
decile 8,entertainment_std,328723.8593555013,91
decile 9,entertainment_std,264911.2567076173,91
decile 10,entertainment_std,1314560.9193636784,91
decile 1,Total,145.92652239113525,91
decile 2,Total,220.43276076170397,91
decile 3,Total,276.35086787447045,91
decile 4,Total,331.81923725548575,91
decile 5,Total,391.7979541027833,91
decile 6,Total,461.07754163287524,91
decile 7,Total,545.322299429872,91
decile 8,Total,662.0117658112358,91
decile 9,Total,865.2216147636932,91
decile 10,Total,1730.581914704476,91
decile 1,total,33.13701710407911,91
decile 2,total,16.193936616091207,91
decile 3,total,16.04646920647233,91
decile 4,total,16.470247657239128,91
decile 5,total,18.224676552289292,91
decile 6,total,22.402456869530944,91
decile 7,total,27.018432637422038,91
decile 8,total,41.94152308623266,91
decile 9,total,82.47810511865666,91
decile 10,total,1329.8547842220012,91
decile 1,Food,2350210.128754145,92
decile 2,Food,3330681.841598732,92
decile 3,Food,3805014.2876106193,92
decile 4,Food,4222948.423914496,92
decile 5,Food,4583205.975755887,92
decile 6,Food,4928717.963104325,92
decile 7,Food,5379207.826079448,92
decile 8,Food,5818341.536100057,92
decile 9,Food,6640390.739197531,92
decile 10,Food,7662392.639806608,92
decile 1,food_std,1332263.7353417198,92
decile 2,food_std,1600911.5851438895,92
decile 3,food_std,1824831.7150439895,92
decile 4,food_std,1956817.4757154912,92
decile 5,food_std,2138976.6630447507,92
decile 6,food_std,2395117.213717305,92
decile 7,food_std,2667967.60760277,92
decile 8,food_std,3080038.2607229836,92
decile 9,food_std,3726610.5054473625,92
decile 10,food_std,5991499.701308444,92
decile 1,Drink,63733.35859782094,92
decile 2,Drink,86733.36730072464,92
decile 3,Drink,100292.27138643067,92
decile 4,Drink,115504.99665998665,92
decile 5,Drink,115305.5872927407,92
decile 6,Drink,105029.5324427481,92
decile 7,Drink,110927.2884283247,92
decile 8,Drink,106484.68826985029,92
decile 9,Drink,123733.01366843033,92
decile 10,Drink,121147.99892559764,92
decile 1,drink_std,202152.1809580634,92
decile 2,drink_std,241038.0094871201,92
decile 3,drink_std,302435.3030808065,92
decile 4,drink_std,323122.53188802203,92
decile 5,drink_std,353284.62869289017,92
decile 6,drink_std,322919.7675913144,92
decile 7,drink_std,329534.71071152604,92
decile 8,drink_std,346227.6578961726,92
decile 9,drink_std,611363.2410488707,92
decile 10,drink_std,369270.0461643867,92
decile 1,Cloth,141258.92941733776,92
decile 2,Cloth,309673.6865942029,92
decile 3,Cloth,437571.71828908555,92
decile 4,Cloth,532571.0086840347,92
decile 5,Cloth,662732.6180855511,92
decile 6,Cloth,841987.6749363868,92
decile 7,Cloth,1085779.3609671849,92
decile 8,Cloth,1292775.2510896344,92
decile 9,Cloth,1618093.3641975308,92
decile 10,Cloth,2333817.6201987644,92
decile 1,cloth_std,339630.2129895363,92
decile 2,cloth_std,601662.6793626371,92
decile 3,cloth_std,745377.0232643165,92
decile 4,cloth_std,815411.7853439627,92
decile 5,cloth_std,1000351.256027977,92
decile 6,cloth_std,1236364.4054341202,92
decile 7,cloth_std,1451353.3360370398,92
decile 8,cloth_std,1695774.495079745,92
decile 9,cloth_std,2185553.037583498,92
decile 10,cloth_std,3469946.6742098997,92
decile 1,Housing,1132241.0230222642,92
decile 2,Housing,1695911.0962409421,92
decile 3,Housing,1991889.1531465093,92
decile 4,Housing,2264466.9617902474,92
decile 5,Housing,2518341.2930193674,92
decile 6,Housing,2879829.8982188297,92
decile 7,Housing,3200753.8937823833,92
decile 8,Housing,3631425.909039227,92
decile 9,Housing,4453335.994268077,92
decile 10,Housing,6678374.839108246,92
decile 1,housign_std,715096.8078405019,92
decile 2,housign_std,994466.3948577159,92
decile 3,housign_std,1156002.2193271369,92
decile 4,housign_std,1316866.5763138214,92
decile 5,housign_std,1458424.8984008268,92
decile 6,housign_std,1781941.6850445063,92
decile 7,housign_std,2070275.7230360678,92
decile 8,housign_std,2506555.71334559,92
decile 9,housign_std,3816413.6193304085,92
decile 10,housign_std,7341906.115002219,92
decile 1,Furniture,141290.01421127428,92
decile 2,Furniture,207824.26403985507,92
decile 3,Furniture,250272.60324483775,92
decile 4,Furniture,292672.93253173016,92
decile 5,Furniture,324865.152570712,92
decile 6,Furniture,365647.582697201,92
decile 7,Furniture,458821.1744386874,92
decile 8,Furniture,523296.2478681069,92
decile 9,Furniture,628639.0321869488,92
decile 10,Furniture,1198816.6263765781,92
decile 1,furniture_std,147053.19242072722,92
decile 2,furniture_std,196789.00403927712,92
decile 3,furniture_std,246645.3104773884,92
decile 4,furniture_std,312049.9544627241,92
decile 5,furniture_std,349174.5340831459,92
decile 6,furniture_std,413049.5202533549,92
decile 7,furniture_std,709464.343976974,92
decile 8,furniture_std,811719.7846801024,92
decile 9,furniture_std,1218273.720681507,92
decile 10,furniture_std,4140315.9031149074,92
decile 1,Health,160365.06868782567,92
decile 2,Health,259435.60914855072,92
decile 3,Health,338921.52163225174,92
decile 4,Health,418252.43820975284,92
decile 5,Health,507600.73847011285,92
decile 6,Health,639646.1991094147,92
decile 7,Health,842951.4853195164,92
decile 8,Health,1007006.4241046049,92
decile 9,Health,1413336.1992945326,92
decile 10,Health,2727163.7389202258,92
decile 1,health_std,285478.1115142875,92
decile 2,health_std,426439.3687425652,92
decile 3,health_std,577772.3263698386,92
decile 4,health_std,720969.0506366751,92
decile 5,health_std,840559.363709349,92
decile 6,health_std,1033590.8905969764,92
decile 7,health_std,1435636.4179304622,92
decile 8,health_std,1708144.8869498079,92
decile 9,health_std,2516163.9182197293,92
decile 10,health_std,7384045.803126253,92
decile 1,Transportation,207621.60113690194,92
decile 2,Transportation,338737.4320652174,92
decile 3,Transportation,428233.407079646,92
decile 4,Transportation,498942.28456913825,92
decile 5,Transportation,588138.2193116901,92
decile 6,Transportation,674230.677480916,92
decile 7,Transportation,752432.469775475,92
decile 8,Transportation,859901.743414819,92
decile 9,Transportation,1007691.3580246913,92
decile 10,Transportation,1286115.9011549826,92
decile 1,transportation_std,228851.0422171411,92
decile 2,transportation_std,320768.0022503633,92
decile 3,transportation_std,408147.09727364435,92
decile 4,transportation_std,473134.25373352255,92
decile 5,transportation_std,570259.8438351267,92
decile 6,transportation_std,627702.7059658705,92
decile 7,transportation_std,710887.5348822318,92
decile 8,transportation_std,856790.1854994312,92
decile 9,transportation_std,1064060.6337952625,92
decile 10,transportation_std,1796143.6393553957,92
decile 1,ICT,132829.39838938892,92
decile 2,ICT,217267.67232789856,92
decile 3,ICT,259959.70132743364,92
decile 4,ICT,300368.3901135605,92
decile 5,ICT,338134.1089591751,92
decile 6,ICT,369056.29770992365,92
decile 7,ICT,416808.03281519865,92
decile 8,ICT,466638.05192344135,92
decile 9,ICT,530074.4047619047,92
decile 10,ICT,623063.9538006984,92
decile 1,ict_std,143962.95429837637,92
decile 2,ict_std,178454.97446717386,92
decile 3,ict_std,231790.34839391118,92
decile 4,ict_std,232877.19750603667,92
decile 5,ict_std,276941.39749977016,92
decile 6,ict_std,268594.36673718103,92
decile 7,ict_std,323712.5606241938,92
decile 8,ict_std,367844.1284296408,92
decile 9,ict_std,507741.9757341992,92
decile 10,ict_std,593393.9874233727,92
decile 1,Restaurant,20870.96162955945,92
decile 2,Restaurant,44795.629528985504,92
decile 3,Restaurant,56788.04080629302,92
decile 4,Restaurant,72088.44355377421,92
decile 5,Restaurant,90165.8771074265,92
decile 6,Restaurant,119130.64567430025,92
decile 7,Restaurant,135415.71675302245,92
decile 8,Restaurant,186600.1516012886,92
decile 9,Restaurant,253295.6349206349,92
decile 10,Restaurant,705844.2116572657,92
decile 1,restaurant_std,68018.99331618448,92
decile 2,restaurant_std,133959.38770047325,92
decile 3,restaurant_std,135368.26604686503,92
decile 4,restaurant_std,188907.91342041513,92
decile 5,restaurant_std,229424.16366800526,92
decile 6,restaurant_std,286214.0358194828,92
decile 7,restaurant_std,372525.1153178024,92
decile 8,restaurant_std,409307.88036015147,92
decile 9,restaurant_std,638768.9846713558,92
decile 10,restaurant_std,4009533.916856826,92
decile 1,Durables,368559.6363571767,92
decile 2,Durables,774590.8625169836,92
decile 3,Durables,1134301.0152716322,92
decile 4,Durables,1561817.2468603875,92
decile 5,Durables,2082842.9774627283,92
decile 6,Durables,2711693.6092424723,92
decile 7,Durables,3494350.77740357,92
decile 8,Durables,4722352.579037963,92
decile 9,Durables,6406886.736570399,92
decile 10,Durables,10979102.679223744,92
decile 1,durables_std,519803.3346248587,92
decile 2,durables_std,851654.3928813302,92
decile 3,durables_std,1141957.723122125,92
decile 4,durables_std,1444765.1198691009,92
decile 5,durables_std,1809783.268483454,92
decile 6,durables_std,2255855.0715216673,92
decile 7,durables_std,2869685.1698247907,92
decile 8,durables_std,3736286.8028614735,92
decile 9,durables_std,5125788.387831755,92
decile 10,durables_std,12063875.849558745,92
decile 1,Others,122975.13974419706,92
decile 2,Others,196303.96286231885,92
decile 3,Others,232331.85840707965,92
decile 4,Others,267520.6012024048,92
decile 5,Others,296876.43862338027,92
decile 6,Others,327886.5298982188,92
decile 7,Others,376556.56303972367,92
decile 8,Others,404509.9677847262,92
decile 9,Others,488056.54761904763,92
decile 10,Others,663874.6441042171,92
decile 1,others_std,129621.93755947048,92
decile 2,others_std,174090.57566676824,92
decile 3,others_std,201476.4961126704,92
decile 4,others_std,238376.83817433365,92
decile 5,others_std,264207.9240961707,92
decile 6,others_std,303059.49230385496,92
decile 7,others_std,361317.0002172388,92
decile 8,others_std,395457.9267940319,92
decile 9,others_std,511851.1848628883,92
decile 10,others_std,1016036.862910871,92
decile 1,Investments,31454.44497078794,92
decile 2,Investments,86605.80842391304,92
decile 3,Investments,150780.22574565717,92
decile 4,Investments,252895.56891560898,92
decile 5,Investments,317666.9685569644,92
decile 6,Investments,359963.95250212046,92
decile 7,Investments,578529.3609671848,92
decile 8,Investments,1014266.1550123176,92
decile 9,Investments,2146932.6866549086,92
decile 10,Investments,13370747.381144239,92
decile 1,investments_std,221368.51300478727,92
